,Property_type,Areas,Price in Lakhs,Bathrooms,Face,Square Feet,Status,Bedrooms
732,Residential Plot,Edupugallu,32.19,0,East,"18,500 / sq ft",New,0
733,Residential Plot,Edupugallu,30.15,0,East,"2,055 / sq ft",New,0
734,Residential Plot,Edupugallu,32.04,0,Unknown,"1,333 / sq ft",New,0
735,Residential Plot,Edupugallu,36.0,0,West,"2,000 / sq ft",New,0
736,Residential Plot,Edupugallu,71.4,0,NorthWest,"2,222 / sq ft",New,0
737,Residential Plot,Edupugallu,35.89,0,Unknown,"2,055 / sq ft",New,0
738,Residential Plot,Edupugallu,32.04,0,West,"2,000 / sq ft",New,0
739,Residential Plot,Edupugallu,87.6,0,East,"2,222 / sq ft",New,0
740,Residential Plot,Edupugallu,37.44,0,Unknown,"2,000 / sq ft",New,0
741,Residential Plot,Edupugallu,37.44,0,Unknown,"2,000 / sq ft",New,0
742,Residential Plot,Edupugallu,44.58,0,Unknown,"2,055 / sq ft",New,0
743,Residential Plot,Gudavalli,35.35,0,East,"1,944 / sq ft",New,0
744,Residential Plot,Edupugallu,35.35,0,East,"1,944 / sq ft",New,0
745,Residential Plot,Gudavalli,31.51,0,Unknown,"1,833 / sq ft",New,0
746,Residential Plot,Edupugallu,38.15,0,East,"1,944 / sq ft",New,0
747,Residential Plot,Edupugallu,31.35,0,West,"1,833 / sq ft",New,0
748,Residential Plot,Gudavalli,30.1,0,East,"1,944 / sq ft",New,0
749,Residential Plot,Gudavalli,32.02,0,East,"1,944 / sq ft",New,0
750,Residential Plot,Gudavalli,30.19,0,East,"1,833 / sq ft",New,0
751,Residential Plot,Edupugallu,27.9,0,Unknown,"2,000 / sq ft",New,0
752,Residential Plot,Edupugallu,37.8,0,Unknown,"2,000 / sq ft",New,0
753,Residential Plot,Edupugallu,29.16,0,West,"1,987 / sq ft",New,0
754,Residential Plot,Edupugallu,29.16,0,West,"2,000 / sq ft",New,0
755,Residential Plot,Edupugallu,28.8,0,West,"2,000 / sq ft",New,0
756,Residential Plot,Srinivasa Nagar Bank Colony,459.0,0,Unknown,"11,722 / sq ft",Resale,0
757,Residential Plot,AGIRIPALLI,3.49,0,East,388 / sq ft,New,0
758,Residential Plot,Kankipadu,16.5,0,East,"1,104 / sq ft",New,0
759,Residential Plot,Kankipadu,5.99,0,East,444 / sq ft,New,0
760,Residential Plot,Edupugallu,35.89,0,West,"2,055 / sq ft",New,0
761,Residential Plot,Edupugallu,35.89,0,East,"2,055 / sq ft",New,0
762,Residential Plot,Edupugallu,37.18,0,East,"2,055 / sq ft",New,0
